year,entry,boxoffice
2019,9.16,11.4
2018,9.11,11.88
2017,8.97,11.091
2016,8.65,11.372
2015,8.43,11.12
2014,8.17,10.4
2013,8.13,10.92
2012,7.96,10.79
2011,7.93,10.18
2010,7.89,10.58
2009,7.5,10.6
2008,7.18,9.634
2007,6.88,9.632
2006,6.55,9.17
2005,6.41,8.82
2004,6.21,9.29
2003,6.03,9.15
2002,5.8,9.09
2001,5.65,8.11
2000,5.39,7.51
1999,5.06,7.33
1998,4.69,6.86
1997,4.59,6.216
1996,4.42,5.817
1995,4.35,5.269
1994,4.08,5.184
1993,4.14,4.897
1992,4.15,4.563
1991,4.21,4.8
1990,4.22,5.02
1989,3.99,5.03
1988,4.11,4.46
1987,3.91,4.25
1986,3.71,
1985,3.55,
1984,3.36,
1983,3.15,
1982,2.94,
1981,2.78,
1980,2.69,
1979,2.47,
1978,2.34,
1977,2.23,
1976,2.13,
1975,2.03,
1974,1.89,